Wavelength Ref(90)     Ref(60)   Ref(45)     Ref(30)    TotErr(90)   TotErr(60)	 TotErr(45)  TotErr(30)
209.586    0.74402     0.483614  0.437025    0.414306    0.0324681    0.0309787  0.0307047    0.0305701
209.965    0.781205    0.50917   0.442727    0.433631    0.0220589    0.019682   0.0190564    0.0189692
210.344    0.770903    0.492064  0.440412    0.411108    0.0251809    0.0231668  0.0227741    0.0225483
210.723    0.782923    0.486416  0.433419    0.41532     0.0268584    0.0249231  0.0245612    0.0244363
211.102    0.773955    0.47626   0.431202    0.412033    0.0285517    0.0267915  0.0265149    0.0263964
211.481    0.766174    0.457997  0.418926    0.435237    0.0242678    0.0221113  0.0218227    0.0219436
211.86     0.774503    0.464965  0.426349    0.409075    0.0259509    0.0239701  0.0237113    0.0235947
212.239    0.767608    0.469722  0.414014    0.408793    0.0278893    0.0262021  0.0258744    0.0258435
212.618    0.774889    0.464959  0.410909    0.422447    0.033795     0.0323898  0.0321385    0.0321923
212.997    0.786984    0.471291  0.425415    0.42233     0.0285693    0.0268635  0.0266066    0.0265892
213.376    0.775799    0.456179  0.401395    0.392101    0.0285312    0.0268931  0.0266022    0.0265526
213.755    0.770847    0.43473   0.396519    0.382094    0.0282407    0.0265494  0.0263503    0.0262747
214.134    0.775972    0.45258   0.399779    0.399107    0.0305014    0.0290171  0.0287675    0.0287643
214.513    0.804444    0.472333  0.403907    0.409415    0.0191812    0.0166927  0.0161324    0.0161782
214.891    0.775524    0.440884  0.403428    0.389471    0.0223265    0.0203153  0.0200777    0.0199884
215.27     0.783947    0.457529  0.390309    0.389829    0.0282463    0.026747   0.0264277    0.0264254
215.649    0.780767    0.453024  0.395858    0.389454    0.0280401    0.0265887  0.0263273    0.0262979
216.028    0.786486    0.448554  0.392363    0.396705    0.0242151    0.0224901  0.0221903    0.0222136
216.406    0.794336    0.447667  0.388741    0.37282     0.0250291    0.0233744  0.0230814    0.0230015
216.785    0.791829    0.439945  0.399015    0.39414     0.0276014    0.0261096  0.0259305    0.0259091
217.164    0.790953    0.439652  0.3921      0.383031    0.027397     0.0259571  0.0257561    0.0257175
217.542    0.794502    0.437997  0.391808    0.37833     0.0304938    0.0292315  0.0290639    0.0290148
217.921    0.790633    0.436518  0.399038    0.37819     0.0244393    0.0228948  0.0227252    0.0226303
218.3      0.805368    0.456611  0.401238    0.386019    0.0206693    0.018846   0.01854      0.018455
218.678    0.810569    0.445656  0.400437    0.374633    0.0209571    0.0191563  0.0189212    0.0187857
219.057    0.814537    0.460778  0.403337    0.387465    0.0306331    0.0294925  0.0293031    0.0292505
219.435    0.810019    0.442782  0.401345    0.390372    0.0221061    0.0204887  0.0202981    0.0202474
219.814    0.802759    0.449209  0.401255    0.384002    0.0258311    0.0245502  0.0243712    0.0243066
220.192    0.804037    0.453745  0.392377    0.384693    0.0282082    0.0270882  0.0268872    0.0268619
220.57     0.797129    0.451221  0.401655    0.381937    0.0229074    0.0215723  0.0213741    0.0212948
220.949    0.801605    0.463061  0.396622    0.389461    0.0249328    0.0237551  0.023517     0.0234912
221.327    0.811922    0.465908  0.39743     0.382627    0.0249432    0.0237938  0.0235597    0.0235088
221.705    0.809993    0.463741  0.409596    0.399489    0.0241149    0.0229471  0.022759     0.0227237
222.084    0.821325    0.472468  0.413978    0.394574    0.0199427    0.0185521  0.0183086    0.0182271
222.462    0.834936    0.472764  0.415821    0.407018    0.0223585    0.0210944  0.0208887    0.0208567
222.84     0.829847    0.476595  0.418639    0.409064    0.0254588    0.0244173  0.0242422    0.0242131
223.218    0.830675    0.482947  0.427239    0.406398    0.0220528    0.0208951  0.0207036    0.0206315
223.597    0.832053    0.481202  0.420275    0.408031    0.0219985    0.0208737  0.0206721    0.0206314
223.975    0.815775    0.480297  0.418569    0.415125    0.0223275    0.0213071  0.0211139    0.0211031
224.353    0.824594    0.494759  0.42388     0.405754    0.0258423    0.0250074  0.0248243    0.0247772
224.731    0.817682    0.486262  0.42768     0.409088    0.0227096    0.0217822  0.0216141    0.0215605
225.109    0.834788    0.503691  0.438961    0.430636    0.0278879    0.0271492  0.0270024    0.0269835
225.487    0.856725    0.505495  0.444092    0.432728    0.0225056    0.021551   0.0213797    0.0213479
225.865    0.843069    0.514421  0.453524    0.435989    0.0206607    0.0197166  0.0195367    0.0194846
226.243    0.844034    0.516346  0.453094    0.434338    0.0237555    0.022964   0.022808     0.0227615
226.621    0.839166    0.519588  0.45936     0.432746    0.0226786    0.0218944  0.0217434    0.0216764
226.999    0.849259    0.522567  0.460933    0.446449    0.0220436    0.0212449  0.0210908    0.0210544
227.377    0.849946    0.53772   0.46519     0.45276     0.0198199    0.0189896  0.0187915    0.0187574
227.755    0.840915    0.536946  0.464111    0.44318     0.022293     0.0216034  0.0214349    0.0213863
228.133    0.844071    0.537898  0.463047    0.452218    0.0209195    0.0201961  0.0200153    0.019989
228.511    0.857272    0.558111  0.487552    0.468492    0.0206334    0.0199214  0.0197497    0.0197031
228.889    0.863666    0.566391  0.489427    0.471571    0.0185349    0.0177742  0.0175719    0.0175246
229.266    0.861666    0.571263  0.496256    0.477208    0.0194581    0.0187619  0.0185779    0.0185308
229.644    0.861018    0.568562  0.491121    0.483243    0.0196282    0.0189624  0.0187822    0.0187638
230.022    0.866625    0.580116  0.494832    0.477758    0.0197774    0.0191446  0.0189522    0.0189134
230.4      0.864052    0.584737  0.500274    0.494543    0.0189719    0.0183421  0.0181473    0.018134
230.777    0.869259    0.592919  0.513929    0.496665    0.0200983    0.019523   0.0193554    0.0193185
231.155    0.869785    0.599253  0.519001    0.502045    0.0184645    0.0178643  0.0176824    0.0176437
231.533    0.871719    0.601492  0.522461    0.499277    0.0186983    0.0181273  0.0179568    0.0179065
231.91     0.866908    0.610171  0.524279    0.50337     0.0190476    0.0185296  0.018353     0.0183098
232.288    0.877086    0.616585  0.534475    0.518163    0.0211969    0.0207307  0.0205816    0.0205519
232.665    0.874173    0.627718  0.535486    0.521472    0.0155994    0.0150096  0.0147829    0.0147481
233.043    0.875762    0.623835  0.539243    0.523144    0.0174103    0.0168845  0.0167043    0.0166697
233.42     0.894256    0.638606  0.554719    0.529812    0.0183391    0.0178386  0.0176713    0.0176213
233.798    0.883943    0.639952  0.555135    0.534394    0.0168487    0.016342   0.0161622    0.0161179
234.175    0.887919    0.654658  0.56167     0.53722     0.0199146    0.0195146  0.0193529    0.0193101
234.553    0.894368    0.666681  0.570266    0.547331    0.0188808    0.018473   0.0182976    0.0182556
234.93     0.899182    0.662206  0.572636    0.558272    0.019631     0.0192336  0.0190813    0.0190567
235.307    0.901797    0.679157  0.582042    0.559848    0.0185057    0.0181145  0.0179412    0.0179014
235.685    0.892447    0.674435  0.580074    0.560904    0.0197999    0.0194521  0.0192996    0.0192684
236.062    0.897891    0.683946  0.588607    0.567195    0.0186208    0.0182626  0.0181006    0.0180641
236.439    0.899532    0.686188  0.594141    0.563857    0.0178721    0.0175051  0.0173444    0.0172912
236.816    0.899784    0.691721  0.588737    0.572306    0.0199799    0.0196685  0.0195125    0.0194875
237.194    0.904499    0.690622  0.601485    0.572069    0.0212059    0.0209103  0.0207858    0.0207446
237.571    0.90328     0.703877  0.605265    0.583256    0.0177464    0.0174201  0.0172564    0.0172197
237.948    0.915053    0.711472  0.616977    0.588864    0.0162357    0.0158748  0.0157045    0.0156534
238.325    0.911113    0.712214  0.61955     0.596601    0.018702     0.0184016  0.01826      0.0182248
238.702    0.905998    0.712949  0.620804    0.588066    0.0154212    0.0150727  0.0149035    0.0148429
239.079    0.908851    0.723013  0.616146    0.600876    0.0165519    0.0162454  0.0160664    0.0160407
239.456    0.906856    0.719372  0.620691    0.597833    0.0185275    0.0182558  0.0181112    0.0180775
239.833    0.909704    0.731923  0.624369    0.601698    0.0193527    0.0191102  0.018962     0.0189306
240.21     0.915519    0.732963  0.631194    0.609805    0.0204231    0.0201899  0.0200587    0.0200311
240.587    0.912469    0.739846  0.633489    0.610322    0.018452     0.0182116  0.0180619    0.0180291
240.964    0.915262    0.745207  0.645245    0.619665    0.0148055    0.014513   0.0143382    0.0142932
241.341    0.91824     0.747634  0.645405    0.621692    0.0171224    0.0168726  0.0167212    0.0166858
241.718    0.921961    0.752076  0.642696    0.621733    0.0173703    0.0171296  0.0169728    0.0169425
242.095    0.914935    0.752062  0.649423    0.619566    0.017197     0.0169658  0.0168185    0.0167754
242.472    0.912926    0.747647  0.65336     0.620042    0.015376     0.0151179  0.0149686    0.0149155
242.849    0.916991    0.764319  0.656951    0.62944     0.0183625    0.018164   0.0180231    0.0179868
243.225    0.916233    0.757502  0.651       0.630323    0.0189958    0.0188015  0.01867      0.0186443
243.602    0.925404    0.772924  0.659375    0.637087    0.0173146    0.0171096  0.0169553    0.0169248
243.979    0.929873    0.774616  0.67134     0.644496    0.0162283    0.0160063  0.0158569    0.0158178
244.356    0.921761    0.773976  0.667893    0.642849    0.0158446    0.0156325  0.0154785    0.0154419
244.732    0.919269    0.768494  0.660513    0.637215    0.0184785    0.0182968  0.0181655    0.0181371
245.109    0.940887    0.782863  0.675458    0.646413    0.0177994    0.0176024  0.0174672    0.0174304
245.486    0.918443    0.78134   0.668409    0.643527    0.0174787    0.0173076  0.0171653    0.0171338
245.862    0.93265     0.790717  0.67391     0.654445    0.0170232    0.0168416  0.0166907    0.0166654
246.239    0.939129    0.78699   0.678616    0.653442    0.0181299    0.0179495  0.0178199    0.0177897
246.615    0.934522    0.792808  0.680032    0.65142     0.016609     0.0164278  0.0162822    0.016245
246.992    0.930382    0.794704  0.684241    0.650365    0.0186518    0.0184992  0.0183741    0.0183356
247.368    0.932051    0.785502  0.68157     0.650225    0.016863     0.0166821  0.0165527    0.0165134
247.745    0.931057    0.798275  0.687157    0.657339    0.0170457    0.0168854  0.01675      0.0167135
248.121    0.931335    0.795053  0.684023    0.652853    0.0173591    0.0172007  0.0170706    0.0170339
248.497    0.943112    0.802184  0.688461    0.660964    0.0173557    0.017191   0.0170569    0.0170243
248.874    0.942774    0.807338  0.69253     0.664729    0.0168194    0.0166578  0.0165195    0.0164859
249.25     0.931183    0.798951  0.689512    0.661051    0.017527     0.0173787  0.017255     0.0172227
249.626    0.93694     0.80684   0.695619    0.664685    0.0173091    0.0171623  0.0170359    0.0170006
250.003    0.936973    0.806469  0.69092     0.665354    0.0186385    0.0185032  0.0183825    0.0183557
250.379    0.939883    0.817452  0.696564    0.67151     0.0170699    0.0169329  0.0167966    0.0167682
250.755    0.939449    0.807388  0.689948    0.662438    0.0174361    0.0172926  0.0171641    0.0171338
251.131    0.936931    0.809421  0.69434     0.669528    0.0187242    0.0185968  0.018481     0.0184559
251.507    0.946673    0.819204  0.697906    0.670724    0.0157264    0.0155738  0.0154272    0.0153941
251.884    0.939699    0.816205  0.702435    0.673226    0.0183234    0.0181993  0.0180842    0.0180546
252.26     0.939375    0.817484  0.702234    0.673906    0.0169513    0.0168189  0.0166928    0.0166616
252.636    0.94286     0.816963  0.703024    0.670706    0.0172263    0.0170939  0.0169732    0.0169388
253.012    0.939606    0.81184   0.69931     0.675653    0.0190671    0.0189467  0.0188399    0.0188174
253.388    0.950414    0.820288  0.701509    0.678102    0.0174845    0.0173518  0.0172298    0.0172056
253.764    0.944921    0.821192  0.702237    0.677644    0.0184022    0.0182832  0.018168     0.0181441
254.14     0.943564    0.818516  0.704483    0.679664    0.0185229    0.0184038  0.0182945    0.0182707
254.516    0.943858    0.819283  0.70641     0.677827    0.0171913    0.0170642  0.0169483    0.0169188
254.892    0.949917    0.815282  0.710882    0.675869    0.0180668    0.0179364  0.0178346    0.0178003
255.268    0.94881     0.821421  0.703747    0.679897    0.0175601    0.0174342  0.0173172    0.0172933
255.643    0.9482      0.827105  0.70842     0.678774    0.0170434    0.0169208  0.0167998    0.0167695
256.019    0.943003    0.816049  0.703823    0.67885     0.0162447    0.0161115  0.0159927    0.0159662
256.395    0.947144    0.822103  0.707664    0.685882    0.0188766    0.0187636  0.0186595    0.0186397
256.771    0.944791    0.8224    0.71169     0.681259    0.0174629    0.0173446  0.0172369    0.0172072
257.147    0.945861    0.826509  0.705855    0.685455    0.0185046    0.0183963  0.0182862    0.0182675
257.522    0.950973    0.830943  0.711775    0.687756    0.0155869    0.0154572  0.0153272    0.0153009
257.898    0.950007    0.827897  0.712726    0.685003    0.0194238    0.0193191  0.0192198    0.0191959
258.274    0.952254    0.823454  0.710707    0.688141    0.0163514    0.0162202  0.0161045    0.0160812
258.649    0.951616    0.828001  0.717457    0.685228    0.0186338    0.018524   0.0184252    0.0183963
259.025    0.95073     0.823565  0.70838     0.683154    0.0197009    0.0195951  0.0194988    0.0194776
259.4      0.943535    0.822233  0.706384    0.683892    0.0174078    0.017294   0.0171846    0.0171633
259.776    0.958242    0.827481  0.713813    0.690107    0.0175175    0.0173957  0.017289     0.0172667
260.151    0.956841    0.832087  0.713188    0.693209    0.0192473    0.0191413  0.0190398    0.0190226
260.527    0.965406    0.833578  0.714087    0.689498    0.0177725    0.0176516  0.0175412    0.0175184
260.902    0.950041    0.825887  0.71549     0.687512    0.0174974    0.017383   0.0172807    0.0172546
261.278    0.952129    0.827772  0.716471    0.68577     0.018671     0.0185641  0.0184678    0.0184412
261.653    0.953447    0.828661  0.716757    0.684512    0.0176472    0.0175335  0.0174309    0.0174013
262.028    0.958801    0.830518  0.713336    0.686831    0.0185745    0.0184634  0.0183614    0.0183383
262.404    0.9675      0.834284  0.721051    0.692271    0.0181998    0.0180823  0.0179818    0.0179562
262.779    0.953835    0.829176  0.718312    0.68857     0.0190783    0.0189743  0.0188813    0.0188562
263.154    0.958917    0.832342  0.719279    0.690645    0.0172996    0.0171836  0.0170794    0.0170529
263.53     0.956227    0.833586  0.720236    0.689193    0.0194076    0.0193083  0.0192161    0.0191907
263.905    0.962924    0.833874  0.717267    0.694732    0.0179373    0.0178235  0.0177201    0.0177001
264.28     0.958626    0.833099  0.719018    0.693246    0.0190817    0.0189775  0.0188824    0.0188608
264.655    0.962416    0.835639  0.719911    0.697192    0.0188413    0.0187353  0.0186381    0.0186189
265.03     0.959498    0.83813   0.722091    0.692557    0.0179824    0.0178752  0.0177722    0.0177459
265.405    0.966969    0.841554  0.721847    0.69236     0.0183828    0.0182753  0.0181721    0.0181466
265.781    0.961073    0.830508  0.720169    0.692789    0.0175552    0.0174388  0.0173397    0.0173151
266.156    0.971891    0.839391  0.725893    0.696081    0.0193284    0.0192202  0.0191271    0.0191025
266.531    0.963092    0.836996  0.722334    0.692801    0.0177624    0.0176517  0.0175504    0.0175242
266.906    0.964338    0.835499  0.718407    0.689555    0.0188853    0.0187787  0.0186813    0.0186572
267.281    0.96125     0.836439  0.720716    0.693204    0.0201804    0.0200847  0.0199956    0.0199743
267.655    0.968127    0.843508  0.721835    0.693692    0.0179543    0.0178452  0.017738     0.0177131
268.03     0.964384    0.835869  0.719196    0.692566    0.0204563    0.0203583  0.0202689    0.0202485
268.405    0.968561    0.842114  0.724807    0.698554    0.0183368    0.0182288  0.018128     0.0181054
268.78     0.97098     0.843149  0.728092    0.701484    0.0183735    0.0182642  0.0181654    0.0181424
269.155    0.967783    0.841678  0.719926    0.687805    0.0185495    0.0184438  0.0183412    0.018314
269.53     0.966831    0.83409   0.723292    0.696686    0.017933     0.0178177  0.0177209    0.0176976
269.904    0.965872    0.837476  0.723176    0.694746    0.0184473    0.0183391  0.0182421    0.018218
270.279    0.973124    0.842766  0.724661    0.697692    0.0189266    0.0188187  0.0187203    0.0186978
270.654    0.964433    0.843296  0.719478    0.691316    0.0154864    0.0153649  0.0152397    0.0152111
271.029    0.970494    0.83692   0.723054    0.690821    0.0180712    0.0179558  0.0178569    0.0178288
271.403    0.972419    0.84389   0.726009    0.697113    0.0181754    0.0180651  0.0179633    0.0179383
271.778    0.96002     0.834898  0.72204     0.692152    0.0173896    0.0172775  0.0171758    0.0171488
272.152    0.969296    0.83514   0.721344    0.691139    0.0168958    0.0167717  0.0166658    0.0166375
272.527    0.960246    0.830829  0.718054    0.693717    0.0176131    0.0174985  0.0173981    0.0173763
272.901    0.971097    0.838138  0.722962    0.70118     0.0173296    0.0172104  0.0171065    0.0170867
273.276    0.971554    0.840682  0.725747    0.695628    0.0190219    0.0189155  0.0188215    0.0187968
273.65     0.960058    0.835387  0.72116     0.695605    0.0183307    0.018226   0.0181296    0.0181079
274.025    0.978645    0.848827  0.732612    0.702101    0.0201028    0.0200022  0.0199116    0.0198878
274.399    0.975775    0.842422  0.722641    0.700414    0.0186759    0.0185644  0.0184637    0.0184449
274.774    0.974265    0.841737  0.725595    0.697639    0.0173925    0.0172744  0.0171703    0.0171452
275.148    0.966895    0.835562  0.72666     0.693704    0.017296     0.0171788  0.017081     0.0170513
275.522    0.968455    0.838009  0.719675    0.692796    0.0187305    0.0186236  0.0185261    0.0185039
275.897    0.974749    0.838709  0.729157    0.69858     0.0179949    0.0178778  0.017783     0.0177564
276.271    0.974766    0.839603  0.724887    0.696765    0.016585     0.0164586  0.0163506    0.016324
276.645    0.971742    0.841179  0.728165    0.695478    0.018509     0.0184003  0.0183058    0.0182783
277.019    0.977706    0.840469  0.728707    0.699734    0.0182301    0.0181139  0.0180188    0.017994
277.393    0.976225    0.842322  0.727254    0.696359    0.0178552    0.0177401  0.0176407    0.0176139
277.768    0.979289    0.843524  0.730408    0.699287    0.0182715    0.0181567  0.0180604    0.0180338
278.142    0.964224    0.839737  0.722335    0.693415    0.0183495    0.0182455  0.0181469    0.0181225
278.516    0.978052    0.844858  0.730129    0.699054    0.0166585    0.0165339  0.0164259    0.0163965
278.89     0.974496    0.84387   0.722714    0.700052    0.0186246    0.0185165  0.0184156    0.0183967
279.264    0.979481    0.848182  0.726928    0.704381    0.0195162    0.0194119  0.019315     0.0192969
279.638    0.974144    0.843694  0.725431    0.697147    0.017706     0.0175927  0.0174893    0.0174645
280.012    0.97392     0.838682  0.725675    0.691948    0.0187142    0.0186033  0.0185102    0.0184823
280.386    0.972308    0.840125  0.727313    0.696372    0.0169922    0.0168713  0.0167674    0.0167388
280.76     0.975451    0.845464  0.723905    0.698703    0.0187167    0.0186096  0.018509     0.018488
281.133    0.97478     0.840752  0.73074     0.699697    0.0192837    0.0191764  0.0190878    0.0190628
281.507    0.974429    0.839222  0.723115    0.697605    0.0184093    0.0182961  0.0181984    0.0181769
281.881    0.975447    0.844506  0.725342    0.69658     0.0192139    0.0191092  0.0190134    0.0189902
282.255    0.977688    0.848977  0.729006    0.697894    0.0173148    0.0172001  0.0170924    0.0170643
282.629    0.975877    0.844163  0.728791    0.70111     0.0184917    0.0183813  0.018284     0.0182606
283.002    0.974531    0.840974  0.721655    0.694799    0.0184184    0.0183061  0.0182051    0.0181823
283.376    0.974619    0.84503   0.725661    0.69873     0.0184077    0.0182987  0.0181978    0.018175
283.75     0.978181    0.844056  0.727105    0.696679    0.0173097    0.0171891  0.0170832    0.0170556
284.123    0.977353    0.846049  0.731195    0.699372    0.0171654    0.0170468  0.0169423    0.0169132
284.497    0.980513    0.84471   0.726769    0.703158    0.0169082    0.0167832  0.0166739    0.0166519
284.87     0.982834    0.850289  0.73026     0.703407    0.0182457    0.0181326  0.0180295    0.0180064
285.244    0.973883    0.841468  0.72445     0.696531    0.0185906    0.0184804  0.0183825    0.0183591
285.618    0.976388    0.843111  0.726494    0.703823    0.0179589    0.0178436  0.0177421    0.0177223
285.991    0.978131    0.841274  0.726904    0.698246    0.0167932    0.0166653  0.0165578    0.0165307
286.364    0.987463    0.847803  0.733197    0.699414    0.0194613    0.0193485  0.0192554    0.0192279
286.738    0.98574     0.846414  0.729227    0.70148     0.0177785    0.0176557  0.0175518    0.0175271
287.111    0.978038    0.843041  0.725445    0.698539    0.0187853    0.0186737  0.0185758    0.0185534
287.485    0.981429    0.839585  0.727008    0.702908    0.0196808    0.0195677  0.0194774    0.019458
287.858    0.978007    0.842019  0.730015    0.701503    0.020477     0.0203724  0.0202858    0.0202636
