Wavelength Ref(90)     Ref(60)   Ref(45)     Ref(30)    TotErr(90)   TotErr(60)	 TotErr(45)  TotErr(30)
178.41     1.2523      0.631123  0.288638    0.699038    0.463525     0.446977   0.437586     0.448816
178.791    1.26023     0.635119  0.290466    0.703464    0.463941     0.447195   0.437688     0.449056
179.172    1.2681      0.639087  0.29228     0.707859    0.464356     0.447412   0.437789     0.449296
179.553    0.883228    0.72366   0.932066    1.17257     0.902954     0.747608   0.950779     1.1875
179.934    0.391607    0.374795  0.39013     0.303744    0.406712     0.390552   0.405291     0.322985
180.316    0.335581    0.529546  0.273094    0.512676    0.407485     0.577796   0.357784     0.562375
180.697    0.925674    0.395674  0.342152    0.319938    0.931439     0.408979   0.357455     0.336254
181.078    1.321       1.06118   0.751933    0.730893    1.34065      1.08553    0.785931     0.765826
181.459    0.239014    0.148617  0.290242    0.218395    0.260708     0.18146    0.308352     0.241944
181.84     0.60195     0.128147  0.487542    0.823958    0.656837     0.292426   0.553885     0.864869
182.221    4.7943      4.78596   2.75957     1.93383     4.81389      4.80559    2.79346      1.9819
182.602    -0.773009   -0.539895 -0.954151   -0.0946078  -0.773009    -0.539895  -0.954151    -0.0946078
182.983    0.300938    -0.041318 0.379508    0.264338    0.897058     0.895279   0.89777      0.896726
183.364    2.6041      3.10514   1.21819     3.15997     0.577829     0.622701   0.42997      0.627417
183.744    0.530903    0.558082  0.488193    0.309474    0.109976     0.111378   0.107736     0.0978066
184.125    0.719036    0.426479  0.730373    0.514483    0.116426     0.105683   0.116823     0.109026
184.506    0.469168    0.338246  0.361218    0.619094    0.224036     0.222159   0.22249      0.226167
184.887    0.731283    1.11097   1.11234     0.634295    0.0979045    0.113219   0.11327      0.0935918
185.268    1.06558     1.03237   0.883151    0.881701    0.124247     0.123364   0.119312     0.119272
185.648    0.514251    0.530376  0.603905    0.407816    0.0654004    0.0658256  0.0677305    0.0625214
186.029    0.605063    0.727892  0.571138    0.563114    0.0720732    0.0747581  0.0713138    0.071133
186.41     0.640781    0.542092  0.635028    0.519193    0.0955526    0.0940703  0.0954668    0.093723
186.791    0.532413    0.6085    0.592025    0.508613    0.0719076    0.0732008  0.0729227    0.0714982
187.171    0.653858    0.607658  0.546087    0.57658     0.0554169    0.0545382  0.0533446    0.053939
187.552    0.660577    0.646314  0.622818    0.597919    0.0362261    0.0359312  0.0354401    0.0349121
187.932    0.606177    0.592857  0.542842    0.525584    0.044407     0.0442197  0.0435093    0.0432615
188.313    0.671149    0.622796  0.54697     0.548857    0.0367306    0.0358812  0.0345072    0.0345421
188.694    0.611952    0.557567  0.544428    0.50994     0.0361706    0.0353207  0.0351123    0.0345593
189.074    0.663077    0.556178  0.558908    0.54909     0.0402086    0.0386864  0.0387261    0.0385834
189.455    0.634998    0.551217  0.570103    0.528202    0.0433428    0.0423014  0.0425384    0.0420108
189.835    0.627379    0.618544  0.572202    0.586286    0.0289303    0.0287693  0.0279093    0.0281734
190.216    0.628046    0.548638  0.53087     0.52169     0.0332966    0.0320966  0.0318219    0.0316791
190.596    0.618135    0.627993  0.541309    0.536748    0.0312604    0.0314111  0.0300601    0.0299874
190.977    0.640822    0.627494  0.539885    0.539164    0.0279849    0.027767   0.0262895    0.026277
191.357    0.634199    0.59557   0.554851    0.519071    0.0281681    0.0275182  0.026816     0.0261835
191.737    0.677042    0.61203   0.55995     0.520947    0.0399688    0.0392191  0.038608     0.0381439
192.118    0.685755    0.627197  0.596406    0.571654    0.0332033    0.0323618  0.0319104    0.0315429
192.498    0.648731    0.576596  0.573763    0.572084    0.0366727    0.0358025  0.0357678    0.0357473
192.878    0.622252    0.588595  0.535733    0.562752    0.0411973    0.0408574  0.0403179    0.0405945
193.258    0.693757    0.621002  0.562135    0.550434    0.0339139    0.0329919  0.0322266    0.0320723
193.639    0.703092    0.659961  0.61637     0.594545    0.0264972    0.0257962  0.0250678    0.0246951
194.019    0.687458    0.603982  0.567402    0.589992    0.0264269    0.025096   0.02449      0.024866
194.399    0.710791    0.61094   0.56311     0.560624    0.0398176    0.0387819  0.0382759    0.0382494
194.779    0.68178     0.636056  0.5798      0.593382    0.0293731    0.0287351  0.0279301    0.0281265
195.159    0.702991    0.612298  0.547056    0.570708    0.0245675    0.0231111  0.0220038    0.0224115
195.54     0.701948    0.551104  0.562259    0.565915    0.0305972    0.0286871  0.0288327    0.0288802
195.92     0.672256    0.579316  0.536987    0.537235    0.028883     0.0276852  0.0271221    0.0271255
196.3      0.700727    0.563759  0.570918    0.584018    0.0351605    0.0337016  0.0337794    0.0339213
196.68     0.72204     0.631918  0.591188    0.544536    0.0318345    0.0307382  0.0302297    0.0296365
197.06     0.727324    0.623482  0.56015     0.555012    0.0374803    0.0364493  0.0358059    0.0357532
197.44     0.73827     0.61512   0.537624    0.540685    0.0235429    0.0216009  0.0202838    0.0203374
197.82     0.721058    0.621319  0.56272     0.539143    0.0264882    0.0251307  0.0242979    0.0239546
198.2      0.717598    0.647756  0.545748    0.506811    0.0294644    0.0286312  0.0273687    0.0268712
198.58     0.693411    0.580172  0.502629    0.51861     0.02263      0.0209446  0.0197075    0.0199687
198.959    0.718084    0.5737    0.528228    0.520788    0.0224358    0.0202514  0.0195129    0.0193894
199.339    0.724133    0.571326  0.522855    0.532719    0.0351379    0.0337341  0.0332765    0.0333701
199.719    0.753247    0.606582  0.541292    0.556271    0.0273401    0.0254807  0.0246079    0.0248109
200.099    0.717775    0.55843   0.532374    0.518975    0.0245895    0.0224981  0.0221373    0.0219495
200.479    0.697921    0.559654  0.535624    0.509963    0.0246769    0.0229013  0.0225785    0.0222286
200.858    0.710923    0.579528  0.525381    0.512102    0.0279152    0.026472   0.0258538    0.0256999
201.238    0.749611    0.590588  0.543747    0.539469    0.0293341    0.0276256  0.0271018    0.0270534
201.618    0.741142    0.556242  0.517977    0.524185    0.0250602    0.0227748  0.0222725    0.0223548
201.998    0.742852    0.556212  0.521004    0.510832    0.0233523    0.0209316  0.0204429    0.0202995
202.377    0.730135    0.56218   0.503146    0.491566    0.0309893    0.0294219  0.0288507    0.0287373
202.757    0.73448     0.548091  0.482757    0.494932    0.0250574    0.0229422  0.022153     0.0223022
203.136    0.784586    0.594732  0.493884    0.528898    0.0233214    0.0209353  0.0195497    0.0200416
203.516    0.760035    0.56701   0.514102    0.485027    0.0364689    0.0350092  0.0345984    0.0343705
203.896    0.724547    0.545899  0.497381    0.460351    0.0241192    0.0221597  0.0215968    0.0211572
204.275    0.778886    0.568173  0.509827    0.490413    0.0277342    0.0256878  0.0250917    0.0248901
204.655    0.768086    0.544483  0.495114    0.473627    0.0284132    0.0263768  0.0259056    0.0256978
205.034    0.779088    0.540357  0.495667    0.486095    0.0272234    0.024964   0.0245179    0.0244212
205.414    0.762541    0.517537  0.447051    0.473822    0.0210851    0.0181668  0.0172359    0.0175953
205.793    0.75729     0.531721  0.467501    0.48063     0.0386221    0.0372525  0.0368532    0.0369352
206.172    0.752005    0.520384  0.442108    0.450586    0.0281602    0.026255   0.0255791    0.0256532
206.552    0.773564    0.53897   0.451129    0.467815    0.0208287    0.0181079  0.0169773    0.0171978
206.931    0.760213    0.509318  0.467904    0.446434    0.0233       0.0208183  0.0203796    0.0201484
207.31     0.776964    0.498702  0.465036    0.452489    0.0214276    0.0184595  0.0180674    0.0179191
207.69     0.741961    0.478165  0.451533    0.442768    0.0200916    0.0172228  0.0169062    0.0168007
208.069    0.773764    0.517749  0.457452    0.448798    0.0367363    0.0352733  0.0349197    0.0348687
208.448    0.761669    0.511858  0.451406    0.446641    0.0314412    0.0298263  0.0294221    0.0293901
208.827    0.758132    0.498407  0.445487    0.443866    0.0317874    0.0301533  0.0298094    0.0297988
209.207    0.739653    0.485692  0.429968    0.427787    0.0219744    0.0196989  0.0191635    0.0191423
