1,710,40,1,10,2.5,90,80,14,8.5,87.53,500,3,6,3,17.33,17.33,650,700
2,755,50,1,10,2.5,90,80,11.5,11.5,87.53,475,3,6,3,17.33,17.33,530,590
3,817.5,75,1,10,2.5,90,80,11.5,11.5,87.53,400,3,6,3,17.33,17.33,390,440
4,892.5,75,1,10,2.5,90,80,11.5,11.5,87.53,312.5,3,6,3,17.33,17.33,240,290
5.0,987.5,105,1,10,2.5,90,80,11.5,11.5,87.53,210,3,6,3,17.33,17.33,-100,0.01
5.1,1017.5,115,1,10,2.5,90,80,11.5,11.5,87.53,170,3,6,3,17.33,17.33,50,150
5.2,1030,140,1,10,2.5,90,80,11.5,11.5,87.53,150,3,6,3,17.33,17.33,-100,0.01
6,1150,100,1,10,2.5,90,80,11.5,11.5,87.53,75,3,6,3,17.33,17.33,-250,-200
