Part,COMx,COMy,COMz,USLCWx,USLCWy,USLCWz,USLCCWx,USLCCWy,USLCCWz,USUCWx,USUCWy,USUCWz,USUCCWx,USUCCWy,USUCCWz,DSLCWx,DSLCWy,DSLCWz,DSLCCWx,DSLCCWy,DSLCCWz,DSUCWx,DSUCWy,DSUCWz,DSUCCWx,DSUCCWy,DSUCCWz
,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-FF-Quartz:1,80,1000.044097,-78.9522333,40,925.93,-82.71,120,925.93,-82.71,40,1065.74,-90.03,120,1065.74,-90.03,40,926.72,-67.73,120,926.72,-67.73,40,1081.51,-75.84,120,1081.51,-75.84
R5-FF-Quartz:1,80,1000.044097,-78.9522333,-120,925.93,-82.71,-40,925.93,-82.71,-120,1065.74,-90.03,-40,1065.74,-90.03,-120,926.72,-67.73,-40,926.72,-67.73,-120,1081.51,-75.84,-40,1081.51,-75.84
R5-BF-Quartz:1,-4.72483E-12,1008.298629,78.18218045,-40,934.19,74.43,40,934.19,74.43,-40,1074,67.1,40,1074,67.1,-40,934.97,89.41,40,934.97,89.41,-40,1089.76,81.3,40,1089.76,81.3
R6-FF-QuartzTray:1,1.70804E-05,1160.108548,-366.4721634,,,,,,,,,,,,,,,,,,,,,,,,
R6-FF-Quartz:1,7.5768E-11,1106.725596,-362.8695117,-129,1051.11,-370.27,129,1051.11,-370.27,-129,1150.97,-375.51,129,1150.97,-375.51,-129,1052.16,-350.3,129,1052.16,-350.3,-129,1171.99,-356.58,129,1171.99,-356.58
R4-FF-QuartzTray:1,2.05386E-05,941.8106303,245.4007046,,,,,,,,,,,,,,,,,,,,,,,,
R4-FF-Quartz:1,2.34881E-12,888.7304725,248.4548015,-106.5,823.15,241.62,106.5,823.15,241.62,-106.5,942.99,235.34,106.5,942.99,235.34,-106.5,824.2,261.59,106.5,824.2,261.59,-106.5,964.01,254.27,106.5,964.01,254.27
R3-FF-QuartzTray:1,2.315E-05,851.0922523,523.4840969,,,,,,,,,,,,,,,,,,,,,,,,
R3-FF-Quartz:1,-7.88E-13,813.1974514,526.2043482,-94.5,777.46,517.59,94.5,777.46,517.59,-94.5,837.38,514.45,94.5,837.38,514.45,-94.5,778.51,537.56,94.5,778.51,537.56,-94.5,858.4,533.37,94.5,858.4,533.37
R2-FF-QuartzTray:1,2.39924E-05,805.5690594,796.2603277,,,,,,,,,,,,,,,,,,,,,,,,
R2-FF-Quartz:1,1.3835E-12,767.6483486,798.9917518,-89.5,731.91,790.37,89.5,731.91,790.37,-89.5,791.83,787.23,89.5,791.83,787.23,-89.5,732.96,810.35,89.5,732.96,810.35,-89.5,812.85,806.16,89.5,812.85,806.16
R1-FF-QuartzTray:1,2.55213E-05,767.0382892,1068.667652,,,,,,,,,,,,,,,,,,,,,,,,
R1-FF-Quartz:1,-7.94149E-13,737.1762547,1071.351877,-84.5,716.22,1061.6,84.5,716.22,1061.6,-84.5,746.18,1060.03,84.5,746.18,1060.03,-84.5,717.27,1081.57,84.5,717.27,1081.57,-84.5,767.2,1078.96,84.5,767.2,1078.96
