Part,COMx,COMy,COMz,USLCWx,USLCWy,USLCWz,USLCCWx,USLCCWy,USLCCWz,USUCWx,USUCWy,USUCWz,USUCCWx,USUCCWy,USUCCWz,DSLCWx,DSLCWy,DSLCWz,DSLCCWx,DSLCCWy,DSLCCWz,DSUCWx,DSUCWy,DSUCWz,DSUCCWx,DSUCCWy,DSUCCWz
,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-FF-Quartz:1,-1.81632E-12,1000.044097,-78.9502333,-40,925.93,-82.7,40,925.93,-82.7,-40,1065.74,-90.03,40,1065.74,-90.03,-40,926.72,-67.72,40,926.72,-67.72,-40,1081.51,-75.84,40,1081.51,-75.84
R5-BF-Quartz:1,80,1008.298629,78.18018045,40,934.19,74.43,120,934.19,74.43,40,1074,67.1,120,1074,67.1,40,934.97,89.41,120,934.97,89.41,40,1089.76,81.29,120,1089.76,81.29
R5-BF-Quartz:1,80,1008.298629,78.18018045,-120,934.19,74.43,-40,934.19,74.43,-120,1074,67.1,-40,1074,67.1,-120,934.97,89.41,-40,934.97,89.41,-120,1089.76,81.29,-40,1089.76,81.29
R6-BF-QuartzTray:1,1.70869E-05,1167.085788,-233.2047414,,,,,,,,,,,,,,,,,,,,,,,,
R6-BF-Quartz:1,4.06063E-12,1113.687249,-229.6012109,-129,1058.07,-237,129,1058.07,-237,-129,1157.94,-242.24,129,1157.94,-242.24,-129,1059.12,-217.03,129,1059.12,-217.03,-129,1178.95,-223.31,129,1178.95,-223.31
R4-BF-QuartzTray:1,0.004261737,948.7678184,378.66924,,,,,,,,,,,,,,,,,,,,,,,,
R4-BF-Quartz:1,-1.2168E-12,895.6921257,381.7231022,-106.5,830.12,374.89,106.5,830.12,374.89,-106.5,949.95,368.61,106.5,949.95,368.61,-106.5,831.16,394.86,106.5,831.16,394.86,-106.5,970.97,387.53,106.5,970.97,387.53
R3-BF-QuartzTray:1,2.315E-05,858.25281,656.731492,,,,,,,,,,,,,,,,,,,,,,,,
R3-BF-Quartz:1,2.22933E-12,820.3580091,659.4517432,-94.5,784.62,650.83,94.5,784.62,650.83,-94.5,844.54,647.69,94.5,844.54,647.69,-94.5,785.67,670.81,94.5,785.67,670.81,-94.5,865.56,666.62,94.5,865.56,666.62
R2-BF-QuartzTray:1,2.39924E-05,812.6301648,929.5181756,,,,,,,,,,,,,,,,,,,,,,,,
R2-BF-Quartz:1,-1.9007E-12,774.7094541,932.2495997,-89.5,738.97,923.63,89.5,738.97,923.63,-89.5,798.89,920.49,89.5,798.89,920.49,-89.5,740.02,943.6,89.5,740.02,943.6,-89.5,819.91,939.42,89.5,819.91,939.42
R1-BF-QuartzTray:1,2.55213E-05,773.9999425,1201.935953,,,,,,,,,,,,,,,,,,,,,,,,
R1-BF-Quartz:1,-1.36779E-12,744.137908,1204.620177,-84.5,723.18,1194.87,84.5,723.18,1194.87,-84.5,753.14,1193.3,84.5,753.14,1193.3,-84.5,724.23,1214.84,84.5,724.23,1214.84,-84.5,774.16,1212.23,84.5,774.16,1212.23
